title,type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters
Rim of the Canyon,MOVIE,1949,70,0.0,6.2,152.0,1.019,5.7,US,1,western,4
Devil's Playground,MOVIE,1937,74,0.0,6.1,153.0,1.76,6.0,US,1,romance,3
The Phantom of 42nd Street,MOVIE,1945,58,0.0,5.2,325.0,1.985,3.7,US,1,thriller,1
No Man's Law,MOVIE,1927,54,0.0,6.6,80.0,0.657,6.0,US,1,western,4
Death Valley Rangers,MOVIE,1943,59,0.0,5.7,148.0,1.4,7.0,US,1,western,4
Ella Cinders,MOVIE,1926,75,0.0,7.0,1015.0,1.607,7.0,US,1,comedy,5
Fast Bullets,MOVIE,1936,58,0.0,5.5,114.0,0.988,4.0,US,1,western,4
The Cowboy and the Indians,MOVIE,1949,68,0.0,6.5,157.0,1.327,7.0,US,1,western,4
Racing Blood,MOVIE,1936,61,0.0,4.4,38.0,1.176,4.0,US,1,drama,0
The Devil's Party,MOVIE,1938,65,0.0,5.7,269.0,1.22,5.3,US,1,crime,2
Tunisian Victory,MOVIE,1944,75,0.0,6.7,604.0,1.052,6.2,US,1,documentation,51
Prison Break,MOVIE,1938,72,0.0,6.1,278.0,1.265,4.6,US,1,crime,2
Emergency Landing,MOVIE,1941,64,0.0,4.2,220.0,1.392,6.5,US,1,war,-1
Heartbeat,MOVIE,1946,102,0.0,6.0,743.0,2.255,5.2,US,1,romance,3
Miss Polly,MOVIE,1941,45,0.0,5.8,174.0,0.699,7.0,US,1,comedy,5
Buried Alive,MOVIE,1939,62,0.0,4.6,186.0,1.612,4.3,US,1,romance,3
Party Girl,MOVIE,1930,67,0.0,5.2,273.0,1.404,3.8,US,1,drama,0
Lady in the Death House,MOVIE,1944,56,0.0,5.3,367.0,2.054,5.4,US,1,crime,2
The Law of 45's,MOVIE,1935,57,0.0,5.2,100.0,0.6,5.0,US,1,western,4
Molly and Me,MOVIE,1945,77,0.0,6.8,472.0,1.883,6.2,US,1,comedy,5
The Judge,MOVIE,1949,69,0.0,5.9,156.0,1.081,5.9,US,1,drama,0
Shore Leave,MOVIE,1925,93,0.0,7.2,101.0,0.6,6.3,US,1,comedy,5
Wives Under Suspicion,MOVIE,1938,69,0.0,6.1,466.0,2.401,6.1,US,1,drama,0
Cheers For Miss Bishop,MOVIE,1941,95,0.0,6.5,723.0,0.988,5.9,US,1,comedy,5
Nabonga,MOVIE,1944,75,0.0,4.2,594.0,2.135,4.0,US,1,action,22
Untamed Fury,MOVIE,1947,60,0.0,5.9,45.0,0.6,6.0,US,1,romance,3
Sofia,MOVIE,1948,82,0.0,6.1,52.0,1.771,5.5,US,1,thriller,1
Damaged Lives,MOVIE,1933,61,0.0,4.4,215.0,3.039,3.7,CA,2,drama,-1
The Lawless Frontier,MOVIE,1934,59,0.0,5.1,1001.0,3.693,5.0,US,1,western,4
Black Gold,MOVIE,1936,57,0.0,5.3,86.0,1.165,5.0,US,1,drama,0
West of Nevada,MOVIE,1936,57,0.0,5.7,46.0,0.871,5.0,US,1,western,4
Convention Girl,MOVIE,1935,66,0.0,5.7,46.0,1.171,6.0,US,1,drama,0
Unholy Love,MOVIE,1932,75,0.0,5.1,121.0,0.6,4.0,US,1,drama,0
Six Shootin' Sheriff,MOVIE,1938,59,0.0,6.3,118.0,1.4,6.0,US,1,western,4
Lost in the Stratosphere,MOVIE,1934,64,0.0,4.5,114.0,1.756,5.0,US,1,comedy,5
Frontier Justice,MOVIE,1936,58,0.0,4.9,73.0,1.4,5.0,US,1,action,22
The Road to Hollywood,MOVIE,1947,56,0.0,4.7,180.0,0.84,4.3,US,1,documentation,-1
Phantom Ranger,MOVIE,1938,53,0.0,6.1,95.0,0.777,4.3,US,1,western,4
Devil Riders,MOVIE,1943,56,0.0,5.9,109.0,0.967,4.2,US,1,western,4
The Old Corral,MOVIE,1936,54,0.0,5.8,251.0,1.255,7.0,US,1,western,4
The Affairs of Anatol,MOVIE,1921,117,0.0,6.6,1299.0,1.716,5.3,US,1,romance,3
Hong Kong Nights,MOVIE,1935,58,0.0,4.8,53.0,0.679,4.0,US,1,action,22
Heroes in Blue,MOVIE,1939,61,0.0,5.2,75.0,0.771,4.0,US,1,drama,0
Fugitive of the Plains,MOVIE,1943,56,0.0,5.2,90.0,0.739,5.0,US,1,western,4
Public Cowboy No. 1,MOVIE,1937,54,0.0,5.7,156.0,1.074,5.7,US,1,western,4
Romance on the Range,MOVIE,1942,63,0.0,6.2,112.0,1.58,6.5,US,1,western,4
Sky Racket,MOVIE,1937,63,0.0,4.8,107.0,0.957,2.0,US,1,scifi,-1
Riders of the Rockies,MOVIE,1937,56,0.0,4.7,75.0,0.627,5.0,US,1,western,4
Man from Cheyenne,MOVIE,1942,60,0.0,6.5,87.0,1.259,10.0,US,1,western,-1
Boy of the Streets,MOVIE,1938,76,0.0,5.8,178.0,1.4,5.0,US,1,drama,0
Tornado,MOVIE,1943,83,0.0,6.1,103.0,3.197,5.3,US,1,drama,0
The Great Dan Patch,MOVIE,1949,94,0.0,5.9,232.0,3.105,5.0,US,1,romance,3
Postal Inspector,MOVIE,1936,58,0.0,5.2,237.0,0.739,8.0,US,1,thriller,1
The Missing Corpse,MOVIE,1945,62,0.0,5.8,226.0,1.728,7.3,US,1,comedy,5
Ghost-Town Gold,MOVIE,1936,55,0.0,6.1,111.0,0.669,5.0,US,1,western,4
Frontier Pony Express,MOVIE,1939,58,0.0,6.2,100.0,1.297,5.0,US,1,western,4
All Over Town,MOVIE,1937,63,0.0,5.1,178.0,1.289,7.2,US,1,comedy,5
Guilty of Treason,MOVIE,1950,86,0.0,5.9,192.0,1.081,5.8,US,1,drama,0
The Silver Horde,MOVIE,1930,75,0.0,5.8,504.0,2.255,5.2,US,1,drama,0
Clearing the Range,MOVIE,1931,61,0.0,5.3,121.0,0.934,4.3,US,1,drama,0
Mr. Wong in Chinatown,MOVIE,1939,71,0.0,5.8,812.0,1.954,5.5,US,1,thriller,1
The Mandarin Mystery,MOVIE,1936,66,0.0,5.3,399.0,1.283,4.9,US,1,thriller,1
Stagecoach to Denver,MOVIE,1946,54,0.0,5.7,164.0,1.466,5.7,US,1,western,4
Invisible Enemy,MOVIE,1938,66,0.0,5.7,38.0,0.6,6.0,US,1,drama,0
Port of Hate,MOVIE,1939,56,0.0,4.9,29.0,0.6,5.0,US,1,action,22
"Texas, Brooklyn & Heaven",MOVIE,1948,76,0.0,6.0,360.0,0.913,6.0,US,1,comedy,5
The Silver Trail,MOVIE,1937,58,0.0,5.4,77.0,1.4,5.0,US,1,western,4
The Phantom in the House,MOVIE,1929,64,0.0,5.0,125.0,0.6,4.0,US,1,drama,0
Inside the Law,MOVIE,1942,62,0.0,5.1,63.0,0.613,5.0,US,1,drama,0
I Take This Oath,MOVIE,1940,67,0.0,5.1,116.0,1.4,4.0,US,1,drama,0
Death Rides the Range,MOVIE,1939,58,0.0,6.0,116.0,1.161,6.0,US,1,western,4
"It's a Joke, Son!",MOVIE,1947,63,0.0,6.0,248.0,1.057,7.2,US,1,comedy,5
Saddle Mountain Roundup,MOVIE,1941,59,0.0,6.7,73.0,0.751,6.0,US,1,western,4
The Range Busters,MOVIE,1940,56,0.0,6.2,88.0,0.752,5.3,US,1,western,4
"Go-Get-'Em, Haines",MOVIE,1936,63,0.0,5.0,163.0,0.778,5.0,US,1,action,22
The Kid's Last Ride,MOVIE,1941,55,0.0,5.3,84.0,1.487,5.0,US,1,western,4
The Vicious Circle,MOVIE,1948,77,0.0,6.0,85.0,0.63,5.0,US,1,crime,2
Adventures of Gallant Bess,MOVIE,1948,71,0.0,5.2,105.0,1.481,4.2,US,1,western,4
The Fighting Renegade,MOVIE,1939,58,0.0,5.1,75.0,1.315,5.7,US,1,western,4
Green Eyes,MOVIE,1934,68,0.0,5.1,285.0,0.687,5.0,US,1,thriller,1
West of the Divide,MOVIE,1934,54,0.0,5.2,954.0,3.155,5.3,US,1,action,22
Between Men,MOVIE,1935,60,0.0,5.9,116.0,1.779,5.5,US,1,western,4
Those We Love,MOVIE,1932,72,0.0,6.1,119.0,1.4,6.0,US,1,drama,0
Hit the Saddle,MOVIE,1937,58,0.0,6.0,190.0,0.681,4.0,US,1,western,4
Road Show,MOVIE,1941,87,0.0,6.0,503.0,2.023,5.9,US,1,comedy,5
City of Missing Girls,MOVIE,1941,74,0.0,4.9,272.0,1.057,4.3,US,1,thriller,1
Peck's Bad Boy,MOVIE,1934,70,0.0,6.5,107.0,2.422,5.7,US,1,drama,0
Hands Across the Border,MOVIE,1944,72,0.0,5.8,138.0,1.143,5.8,US,1,western,4
The Reckoning,MOVIE,1932,63,0.0,5.1,44.0,0.84,5.0,US,1,crime,2
Song of the Gringo,MOVIE,1936,62,0.0,4.9,162.0,0.92,5.0,US,1,western,4
Boys' Reformatory,MOVIE,1939,61,0.0,5.3,81.0,0.978,6.0,US,1,drama,0
Skyway,MOVIE,1933,69,0.0,5.6,65.0,0.651,5.0,US,1,drama,0
Devil's Cargo,MOVIE,1948,64,0.0,5.5,196.0,1.637,5.3,US,1,thriller,1
Symphony of Living,MOVIE,1935,75,0.0,6.7,58.0,1.018,5.7,US,1,drama,0
Buckskin Frontier,MOVIE,1943,76,0.0,6.1,195.0,1.269,6.0,US,1,western,4
Streets of New York,MOVIE,1939,73,0.0,6.1,142.0,2.077,5.7,US,1,crime,2
Home in Oklahoma,MOVIE,1946,72,0.0,6.0,252.0,0.967,5.8,US,1,western,4
The County Fair,MOVIE,1920,59,0.0,5.9,61.0,0.84,4.7,US,1,drama,0
Country Gentlemen,MOVIE,1936,66,0.0,5.0,146.0,0.871,8.0,US,1,comedy,5
The Far Frontier,MOVIE,1948,67,0.0,6.3,131.0,0.6,6.0,US,1,action,22
Phantom of Chinatown,MOVIE,1940,62,0.0,5.9,696.0,2.839,6.2,US,1,thriller,1
Cowboy and the Senorita,MOVIE,1944,78,0.0,5.8,279.0,1.342,5.0,US,1,western,4
Paradise Express,MOVIE,1937,60,0.0,5.7,123.0,0.637,8.0,US,1,crime,2
A Demon for Trouble,MOVIE,1934,58,0.0,5.6,71.0,1.4,5.0,US,1,western,4
Lady Behave!,MOVIE,1937,70,0.0,6.1,226.0,1.141,5.1,US,1,romance,3
Doomed to Die,MOVIE,1940,68,0.0,5.5,1183.0,2.76,6.1,US,1,crime,2
Boy! What a Girl!,MOVIE,1947,70,0.0,5.7,144.0,1.168,6.0,US,1,comedy,5
Riders of the Whistling Skull,MOVIE,1937,58,0.0,5.8,201.0,1.291,5.7,US,1,action,22
Two Minutes to Play,MOVIE,1936,74,0.0,6.2,28.0,0.6,5.0,US,1,action,22
Code of the Fearless,MOVIE,1939,56,0.0,5.0,48.0,0.84,5.0,US,1,western,4
Oath of Vengeance,MOVIE,1944,57,0.0,5.6,162.0,1.164,6.0,US,1,western,4
Affairs of Cappy Ricks,MOVIE,1937,61,0.0,5.5,208.0,1.352,5.0,US,1,comedy,5
Border Phantom,MOVIE,1937,60,0.0,5.8,103.0,0.67,6.0,US,1,western,4
Round-Up Time in Texas,MOVIE,1937,56,0.0,4.7,232.0,0.88,10.0,US,1,action,-1
Across the Plains,MOVIE,1939,59,0.0,5.6,85.0,0.698,4.0,US,1,western,4
Son of the Navy,MOVIE,1940,72,0.0,6.3,108.0,0.784,5.5,US,1,drama,0
Cheyenne Rides Again,MOVIE,1937,56,0.0,5.8,47.0,0.871,6.0,US,1,western,4
Northwest Trail,MOVIE,1945,66,0.0,5.7,132.0,1.8,5.0,US,1,western,4
Trocadero,MOVIE,1944,74,0.0,5.7,126.0,1.176,4.0,US,1,comedy,5
Gang Bullets,MOVIE,1938,63,0.0,5.5,181.0,1.728,6.4,US,1,thriller,1
Springtime in the Sierras,MOVIE,1947,75,0.0,6.0,197.0,0.987,4.3,US,1,western,4
Wall Street Cowboy,MOVIE,1939,66,0.0,6.0,115.0,0.859,6.0,US,1,western,4
The Luck of Roaring Camp,MOVIE,1937,58,0.0,5.9,57.0,1.4,3.0,US,1,western,4
The Mystery Man,MOVIE,1935,65,0.0,5.5,221.0,1.648,5.8,US,1,thriller,1
Shadows,MOVIE,1922,70,0.0,6.1,453.0,1.1,6.0,US,1,drama,0
Indian Territory,MOVIE,1950,70,0.0,6.0,91.0,0.625,2.0,US,1,western,4
Phantom Rancher,MOVIE,1940,61,0.0,5.3,141.0,1.301,3.3,US,1,western,4
Junction 88,MOVIE,1947,60,0.0,6.3,30.0,1.4,5.0,US,1,music,-1
